label,brand,platform,packer_or_type,distribution_url,original_sha256,original_size,defang_restore_first4_hex,archive
brand_astrill_android,astrill,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/astrill/astrill_android.apk,015d6c3fb6ef554961bf901f7306c89b5bd093ced816499af9407a1680bbd8d0,104503038,504b0304,brand_astrill_android_DEFANGED.zip
brand_biubiu_android,biubiu,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/biubiu/biubiu_android.apk,f286549e2dff591d3807eff6d953061f4a9139738b50f0336eff791c055b9e16,104501006,504b0304,brand_biubiu_android_DEFANGED.zip
brand_clash_android,clash,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/clash/clash_android.apk,ea661987575bfd3ffa7d241cb3150d0d52d52f952a60f630ecc71a21211c91cb,104457542,504b0304,brand_clash_android_DEFANGED.zip
brand_express_android,express,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/express/express_android.apk,7e23a043e8bd92ea2711298274954df309b94ba0b83b00b7a5124beb08271cb1,104485270,504b0304,brand_express_android_DEFANGED.zip
brand_fox_android,fox,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/fox/fox_android.apk,585486427554eca414b53206e5beeb37712a9408209db034887b88c8592611dc,104499034,504b0304,brand_fox_android_DEFANGED.zip
brand_lantern_android,lantern,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/lantern/lantern_android.apk,06dd7352c339cff4b1c4b6907e319d3c9e20fa54cddfea4df3c51252623a88a3,104522466,504b0304,brand_lantern_android_DEFANGED.zip
brand_nord_android,nord,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/nord/nord_android.apk,f952bcc37506b5362cbe498ebec2ffc4701535775006e8748c2012ec9ae3fcf2,104473378,504b0304,brand_nord_android_DEFANGED.zip
brand_panda_android,panda,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/panda/panda_android.apk,ea550c966189a6cdbc3eac61510b1517839714bca9fcc1d869ca0c88f54d6f81,104491850,504b0304,brand_panda_android_DEFANGED.zip
brand_ssr_android,ssr,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/ssr/ssr_android.apk,b02706b60be2a74cfa365c2620cbf41c7d121cc9c8709aa9cc505bb838e50512,104496226,504b0304,brand_ssr_android_DEFANGED.zip
brand_surfshark_android,surfshark,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/surfshark/surfshark_android.apk,5c42e7598d3f6897b4212e75ef8ca85806e82e5960446c89316b99012f71ee2d,104482890,504b0304,brand_surfshark_android_DEFANGED.zip
brand_v2rayn_android,v2rayn,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/v2rayn/v2rayn_android.apk,9cf2c9cb89d25b83e26edc887a794057969b101b74e7bc563725faf411a10c3b,104478446,504b0304,brand_v2rayn_android_DEFANGED.zip
brand_xunyou_android,xunyou,Android,APK (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/xunyou/xunyou_android.apk,0acd3293fab55c950cef5e5b30dec6b1b3c68014b87bdb737d25967601a37f1e,104465222,504b0304,brand_xunyou_android_DEFANGED.zip
heibao_android,heibao/黑豹,Android,APK,https://cdn.awsdl.xyz/3rdparty/seo/heibao/heibao_android.apk,02783b5c590670f3f1902e4f1aa9b98ab86d8c11752eed60a081bd9d99d0a435,104548010,504b0304,heibao_android_DEFANGED.zip
quickq_android,quickq,Android,APK,https://www.awsdl.com/download/3rdparty/seo/quickq/quickq_android.apk,6bc96e6f5d7665b8da629e9e1427c432876b74a692419d47a01e8d20c14969a5,104490858,504b0304,quickq_android_DEFANGED.zip
yunyin_android,yunyin/云隐,Android,APK,https://s3.daliaohengsheng.com/yunyin_v1.7.3.apk,ff2d310e0661904e74bf734e5d655cd623bb631c0a2b91a6256891df17966298,36118430,504b0304,yunyin_android_DEFANGED.zip
brandB-oldgen_ahaspeed_win,ahaspeed,Windows,AHAspeed Flutter家族B 旧构建代(builder同名品牌),https://www.awsdl.com/download/3rdparty/seo/ahaspeed/ahaspeed_win.exe,531a9843d18e1ca6ee583e564fd6575a2c20f27a244fd8744fc5c7318a1d37df,39929248,4d5a5000,brandB-oldgen_ahaspeed_win_DEFANGED.zip
brandB-oldgen_cham_win,cham,Windows,"AHAspeed Flutter家族B 旧构建代(2025-07-24,含.DS_Store)",https://www.awsdl.com/download/3rdparty/seo/cham/cham_win.exe,c85039aaa58fe26d8e1b2d7b20515894c0c7d3feee4f9aef94a764d710336be1,38932624,4d5a5000,brandB-oldgen_cham_win_DEFANGED.zip
brand_astrill_win,astrill,Windows,Inno6.1.0 trojanized (awsdl SEO),https://www.awsdl.com/download/3rdparty/seo/astrill/astrill_win.exe,1e0a19a19e1ed8589fc97296d62bad73676654229263b015f97cea0b41efe454,53370856,4d5a5000,brand_astrill_win_DEFANGED.zip
